relative_path,sha256,bytes
.zenodo.json,a8559615dc048a6b38d2031181a73db4677b299a34948ba3a91e9c09d2e8f0c9,872
aggregate_results/cnv/chr16_gain_public_prevalence_layer.csv,3d98d407625cea30fafd6745be7a414ee57e3e735de6926f3d7c38630f5698db,1158
aggregate_results/cnv/GSE181157_ras_chr16_summary.csv,cf57623f17c4a7018a7516f6a30642d64a8473605abd8d10bf68d5cbf3b19edf,267
aggregate_results/cnv/GSE184692_chr16_gain_by_subtype.csv,0dee721b32fce11bd3d3b4e4cfdb964c384d3faab6d61a2f9a8d4f697ac5923a,526
aggregate_results/gseapy/dataset_audit.csv,e2e4db117609a7e93c23f2ea721f70db7cd120140a5e1c244f19550e9f47a889,596
aggregate_results/gseapy/gseapy_prerank_summary_all_datasets.csv,d31cb3b59c72136b0b28fca032a3ae84a7a9fd924fdb1ad75ab42f211991c09e,37132
aggregate_results/gseapy/ssgsea_group_tests_all_datasets.csv,5d66ed095cbe8771d6f7bcb03e72892726f50e68dd62f4722390f988ab1de418,10483
aggregate_results/manuscript/Figure_2_TARGET_EFS_data.csv,23b58bd9ee16bb14cdc5c4ed223798973135d1dd6bb802d09f54a67888283179,92
aggregate_results/manuscript/Figure_3_external_CNV_recurrence_data.csv,4eee16faf33a8b7d1a31cb3c7834d291ad4d22a9312cfa9588eab234d48b05bb,857
aggregate_results/manuscript/Figure_4_expression_context_data.csv,a1383148d28ffffa6ffa79498f83f0a1abd5805fecf2a5e61ae70faa07e81e51,25851
aggregate_results/manuscript/TARGET_karyotype_screening_universe.csv,363819b4f576adb0739f3602ff376c536628bf6fb4fa8304ba2b245c82af5a9b,9024
aggregate_results/manuscript/TARGET_penalty_sensitivity.csv,61a6ad38ec580a2b3687ed60261ca8cb6b2b723039d526a9e1062e773ce774de,2060
analysis_code/cnv/analyze_gse181157_ras_chr16.py,9462ebaf9633ed92269fee3bfa7ebfed8a576d626406ad329418dfdb427398e3,5606
analysis_code/cnv/analyze_gse184692_chr16.py,71c5f0ea1614c1b401b5ed1c733ea520e8f42e57872a757543b6024a809e76d7,11511
analysis_code/gseapy/run_expanded_chr16_ras_gseapy.py,cdcfc042360d470e1c00fe63b0b3f846e84c17b39e004756fe5e6e23ec27d8ea,48163
analysis_code/manuscript/build_q1_docx.js,22564c9ae2c641a1d29c1f06a86a6fdfa32847c177c4d8bd73c1d422b6c662c7,8440
analysis_code/manuscript/build_q1_figures.py,1e598783abf236cc4e5ccb8cb64b955de396078e6ca1b2cc6d44f65541af425e,15086
analysis_code/manuscript/qa_manuscript.py,eca14c5dec9e2e558dc7a57c09ad593c137825919e719be48ccfb57c8b66d5c8,2389
CITATION.cff,d999402f260b6840f08e6dc3d46f0aff8fdf0f8ee01cf3e484981c4a5111e253,446
DATA_AND_CODE_AVAILABILITY.md,8b1661c59e811c21259afdcc4644ccaf577b4e8d71b1794f5c02d02e0ac71ecd,570
docs/expanded_gseapy_closure_report.md,d91174ad92182051f4534bb4577396b40a900ff1292fa49e8829c7a3f5d94ccd,23184
docs/Q1_submission_risk_register.md,96859ee6278eeb716d37e3eb42271b56a5176ed70886b256aa2c91a580b4f8e5,2871
figures/Figure_1_study_design.pdf,2b3f1c35e4b98eb0bbbc217f9ff08b8243a04393f224dc996f4fb9cc784758fa,52660
figures/Figure_1_study_design.png,eb16aa4e3ff27caf9a59a8c98a790de44e787876a04f9eec43b9d7cbb842a16c,404367
figures/Figure_2_TARGET_EFS.pdf,1ba2953d8b4cefa988799d5716e90521c26894694e5080d896d74e60140c645b,45913
figures/Figure_2_TARGET_EFS.png,b648f1981ef1944290cb674a0f94092607b6b036e883f875174d8d0cc41dc4ba,256157
figures/Figure_3_external_CNV_recurrence.pdf,6423b58a1007bed83566679b45cf2eeda8f2052abda4b658f4a92a1c1b148c5f,53633
figures/Figure_3_external_CNV_recurrence.png,4f6d0b86c454bdb2a429398534aac1318999517f5a8bc7007ad43d4235b553c6,247791
figures/Figure_4_expression_context.pdf,f85c248462b9620bf6d322390c58ffa878d581089e814c8cdb4429345e4b4bfd,62010
figures/Figure_4_expression_context.png,78fb1a1f17ee6a0168ecd024aae0e77ba44c28032b0ff6ebeadb2e7281635a1c,537741
figures/Supplementary_Figure_S1_penalty_sensitivity.pdf,fe46cf2f6b42516eec94d8c4562635da4ec7fdb642204625a9f50c2f448588f7,47460
figures/Supplementary_Figure_S1_penalty_sensitivity.png,f781baecfe41172044261aa296d05ca137804f31b5677795672533b54a03b055,289529
LICENSE,e9b7faf1703774b04e7b5effd4cec664e042a5283d4b757116b9feb853f40e8d,1084
manuscript_source/Manuscript_Q1_rewrite.md,c08430d0a5f31c010f20065d273586708e5331d5096699a570a0040cda313673,30915
manuscript_source/Reference_Verification_Q1_rewrite.md,b101f971a4374e0a29853d6f382246ffa95fba111f904880150fec3fe41e67df,1076
