feature,n,feature_n,prevalence,univ_n,univ_events,univ_hr,univ_ci_low,univ_ci_high,univ_cox_p,univ_cox_fdr,adjusted_hr,adjusted_ci_low,adjusted_ci_high,adjusted_cox_p,adjusted_cox_fdr
gain_chr_16,141,7,0.0496453900709219,141,24,4.203605402045863,1.4358822951667445,12.306230417067136,0.0087908533521245,0.3076798673243577,5.0217062641473165,1.6376469462256,15.398638797878274,0.0047611978212127,0.1856867150272963
abnormal_tokens_ge3,141,67,0.475177304964539,141,24,2.32651974010648,0.9952834021153272,5.438344585674034,0.0512893349396122,0.8267228840268153,1.9305314242884104,0.9327038373899842,3.9958574530949607,0.0763510033587793,0.8240356612503942
structural_type_der,141,24,0.1702127659574468,141,24,2.0786133060498355,0.8618983381373221,5.012926797637056,0.1032966602292591,0.8267228840268153,1.7838021390664804,0.7844922748572377,4.0560629764228135,0.1673240997463935,0.8240356612503942
structural_chr_1,141,5,0.0354609929078014,141,24,2.903428014641996,0.6815395639958418,12.368899300260422,0.149452405558029,0.8267228840268153,4.690747081852754,0.9628840822040476,22.851253429742936,0.0557292012193723,0.8240356612503942
del_13q,141,5,0.0354609929078014,141,24,2.6824657955840974,0.6299008542203471,11.423421156310267,0.1819560312664212,0.8267228840268153,2.538743228493961,0.5991423910621172,10.757404711087649,0.2060022710149041,0.8240356612503942
del_chr_13,141,5,0.0354609929078014,141,24,2.6824657955840974,0.6299008542203471,11.423421156310267,0.1819560312664212,0.8267228840268153,2.538743228493961,0.5991423910621172,10.757404711087649,0.2060022710149041,0.8240356612503942
gain_chr_10,141,13,0.0921985815602836,141,24,1.9698502903289987,0.672782595094257,5.767554325280379,0.2161303114696377,0.8267228840268153,1.73298045997147,0.6177445396633048,4.861590968136768,0.296143775018541,0.8240356612503942
del_6q,141,19,0.1347517730496454,141,24,1.829205308306656,0.682577190377524,4.901998055467729,0.2298744222324036,0.8267228840268153,1.696123361225725,0.6732579121049882,4.2730050472055,0.2623961314526727,0.8240356612503942
del_chr_6,141,19,0.1347517730496454,141,24,1.829205308306656,0.682577190377524,4.901998055467729,0.2298744222324036,0.8267228840268153,1.696123361225725,0.6732579121049882,4.2730050472055,0.2623961314526727,0.8240356612503942
del_11q,141,6,0.0425531914893617,141,24,2.048776907773384,0.4813695281467685,8.719884771238917,0.3317512024894826,0.8267228840268153,1.5981703365284123,0.3978982455660779,6.41909948842732,0.508667182915264,0.8240356612503942
del_chr_11,141,6,0.0425531914893617,141,24,2.048776907773384,0.4813695281467685,8.719884771238917,0.3317512024894826,0.8267228840268153,1.5981703365284123,0.3978982455660779,6.41909948842732,0.508667182915264,0.8240356612503942
structural_chr_3,141,8,0.0567375886524822,141,24,1.9866082194700423,0.4668856079856548,8.453060343181948,0.3528565271454795,0.8267228840268153,1.7845086669435513,0.4493708880183631,7.086509756872635,0.4104495824749687,0.8240356612503942
structural_chr_21,141,13,0.0921985815602836,141,24,0.3962856913687608,0.0535145384398517,2.934573552570696,0.3648817357907618,0.8267228840268153,0.5333455316969555,0.1278945828393951,2.224155627751009,0.3882632632979051,0.8240356612503942
gain_chr_21,141,27,0.1914893617021276,141,24,1.493980951087353,0.5928169361926344,3.765039333300349,0.3946339948088715,0.8267228840268153,1.3181704035325037,0.5594416569420754,3.105906024672296,0.5275643061986856,0.8240356612503942
structural_ge3,141,42,0.2978723404255319,141,24,1.4282306765181527,0.6248666649401476,3.264445008508951,0.3980565506492527,0.8267228840268153,1.2982771282398924,0.6114692759095459,2.756513807179676,0.4968124903649968,0.8240356612503942
del_chr_9,141,7,0.0496453900709219,141,24,1.863658554385748,0.4380681634586583,7.92849948262208,0.3993982344877556,0.8267228840268153,1.9916539198801744,0.4740529305212456,8.367600074136217,0.3468354052897924,0.8240356612503942
hypodiploid_clone,141,19,0.1347517730496454,141,24,0.5513097596438559,0.129629069094273,2.344709047146849,0.4201251261726297,0.8267228840268153,0.6743888213605002,0.2133981442513819,2.131228853800397,0.5021981034987981,0.8240356612503942
structural_type_del,141,54,0.3829787234042553,141,24,1.386506821708943,0.6210422695421838,3.095443355349352,0.4251717689280764,0.8267228840268153,1.2439120284069023,0.608820240645732,2.5415008094577245,0.5493571075002628,0.8240356612503942
structural_chr_6,141,23,0.1631205673758865,141,24,1.4084301210926975,0.5257345652890411,3.773150058928683,0.495769323080617,0.9064764113563224,1.333792588276126,0.5411705211890164,3.287323678739273,0.531431389694003,0.8240356612503942
del_6q21,141,8,0.0567375886524822,141,24,1.608416923251053,0.3781515067546523,6.841186542405747,0.5199571482245215,0.9064764113563224,1.6299173830920026,0.409989291529245,6.479756253623957,0.4878306632775773,0.8240356612503942
structural_chr_12,141,52,0.3687943262411347,141,24,0.7688136077900426,0.3289369289925939,1.7969230920145478,0.5438858468137935,0.9064764113563224,0.7631339472574252,0.3649130008137722,1.5959240151980882,0.472674841721807,0.8240356612503942
translocation_12_21,141,9,0.0638297872340425,141,24,0.6374524880823025,0.0860785213664341,4.720639575493104,0.6593775631841711,0.9615052895255328,0.7519987649096631,0.1500965972900596,3.767588024216388,0.7288454105850244,0.9729091881484104
loss_chr_X,141,14,0.0992907801418439,141,24,1.3081188775698278,0.3901478032770214,4.3859659941223335,0.6634691993322367,0.9615052895255328,1.260483464413614,0.4153346811372574,3.8253934386352935,0.6827613449547689,0.9729091881484104
structural_chr_9,141,15,0.1063829787234042,141,24,0.7311551466388585,0.1719048622464853,3.109788992995284,0.6716139109304167,0.9615052895255328,0.8535096937506647,0.246947346949051,2.949935710289892,0.8023318967332714,0.9729091881484104
structural_chr_13,141,9,0.0638297872340425,141,24,1.3288053652457306,0.3123942744367621,5.652228107859494,0.7003459480115418,0.9615052895255328,1.519115799168223,0.3887074291691343,5.936888873503824,0.5476838339984784,0.8240356612503942
del_12p,141,24,0.1702127659574468,141,24,1.1941464477829598,0.4458287373725799,3.1985056574784267,0.7241145492232337,0.9615052895255328,1.0681656451587267,0.4376741183001263,2.6069118501427035,0.8848231161127829,0.9729091881484104
structural_chr_11,141,9,0.0638297872340425,141,24,1.2756287195588052,0.2998877792254458,5.426125180446049,0.7417326519196968,0.9615052895255328,1.0239108009174436,0.2745725267932795,3.818274684942228,0.971930171758672,0.9729091881484104
normal_clone_present,141,127,0.900709219858156,141,24,1.2376870215541296,0.2909861570866761,5.264405628984042,0.7728144954117175,0.9660181192646468,1.1777970277414291,0.3410943288283165,4.066927302255939,0.7957746231577822,0.9729091881484104
structural_type_add,141,44,0.3120567375886525,141,24,0.909386407989238,0.3770962637993374,2.1930305824393628,0.8325055355811015,0.9985542690512856,0.871785917984421,0.4027722895772125,1.8869487957915825,0.7276326932253949,0.9729091881484104
del_chr_12,141,26,0.1843971631205673,141,24,1.0752746661006096,0.401434828799449,2.880207507195162,0.8852076357727927,0.9985542690512856,0.9848809713957826,0.4088198674966209,2.372659953532023,0.9729091881484104,0.9729091881484104
normal_karyotype_only,141,23,0.1631205673758865,141,24,1.0410856602220817,0.3558203571562711,3.0460858411314358,0.9414030407793786,0.9985542690512856,1.0670571483130435,0.4120711162818546,2.7631418771587968,0.8936399513414571,0.9729091881484104
del_9p,141,6,0.0425531914893617,141,24,0.9428372868193337,0.1273394910433866,6.9808834803177024,0.9540476728268468,0.9985542690512856,1.0901684584932725,0.1799829505737846,6.603221383496441,0.9251563975359864,0.9729091881484104
loss_chr_15,141,6,0.0425531914893617,141,24,1.037676071916033,0.1401010846487922,7.685676616468442,0.9711226117922198,0.9985542690512856,1.2951546098621818,0.2105590523181997,7.966532167481032,0.7802157273326646,0.9729091881484104
multiple_clones,141,111,0.7872340425531915,141,24,1.0111612702022066,0.3775436967903259,2.708155699722276,0.982382529127404,0.9985542690512856,0.9804400498115744,0.4105377619861283,2.3414720405354643,0.9645260434719168,0.9729091881484104
structural_chr_19,141,6,0.0425531914893617,141,24,0.9981507344389364,0.134791796994485,7.391435613116368,0.9985542690512856,0.9985542690512856,0.8835172436672026,0.1512728547507233,5.160229977437896,0.8906055069724051,0.9729091881484104
structural_chr_14,141,7,0.0496453900709219,141,24,,,,,,0.3260177822987839,0.0313578486100779,3.389505310031312,0.3481524381720037,0.8240356612503942
structural_chr_5,141,7,0.0496453900709219,141,24,,,,,,0.3581371602714697,0.032732002915588,3.9185571960898704,0.4002489809073697,0.8240356612503942
structural_type_dic,141,7,0.0496453900709219,141,24,,,,,,0.2687042613562316,0.0285687361390711,2.5273074636386568,0.2504781918413338,0.8240356612503942
structural_type_i,141,7,0.0496453900709219,141,24,,,,,,0.2506220406626359,0.0274744907267581,2.286171849028317,0.2198732328672107,0.8240356612503942
